user_name,hashtag,frequency
BTCtreasuries,#bitcoin,1
BiconomyCom,#bitcoinpizzaday,1
BiconomyCom,#btc,1
BiconomyCom,#crypto,1
BitbullTrading,#bitcoin,1
Bitcoin,#bitcoin,2
BitcoinPulseX,#sol,1
BitcoinPulseX,#solana,1
Bitcoinblacck,#btc,1
Bitcoinprof0637,#bitcoin,2
Can_Sayan,#altcoinler,1
Can_Sayan,#bitcoin,1
CryptoMichNL,#bitcoin,1
CryptoPatel,#bitcoin,1
CryptoXAiMan,#altcoins,1
CryptoXAiMan,#bitcoin,1
CryptoXAiMan,#crypto,1
CryptoXAiMan,#ripple,1
CryptoXAiMan,#xrp,1
CryptocapoOO,#bitcoin,1
Eljaboom,#bitcoin,1
GaryCardone,#iran,1
KriptoQuennn,#bist100,1
KriptoQuennn,#bitcoin,1
KryptoWolfGER,#bitcoin,1
KryptoWolfGER,#krypto,1
MacroAlphaHQ,#btc80k,1
MacroAlphaHQ,#fiatcollapse,1
MacroAlphaHQ,#goldrally,1
SafePal,#safepalmastercard,1
Smart_Money,#bitcoin,1
Solpok21,#bitcoin,1
Solpok21,#crypto,1
Solpok21,#digitalgold,1
Solpok21,#finance,1
TylerDurden,#005,1
WWBitcoin,#bitcoin,1
binance,#binancepizza,2
bitgetvietnam,#pizzawithbitget,1
pete_rizzo_,#bitcoin,9
rektcapital,#bitcoin,1
rektcapital,#btc,1
rektcapital,#crypto,1
